ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Cluster_ID	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of	Comment	Aliases	Rank
ID	LABEL	A skos:prefLabel	TI %	TYPE	I 'subcluster of' SPLIT=|	A oboInOwl:hasExactSynonym SPLIT=|	A 'cluster id'	TI capable_of some %	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases SPLIT=|	A n2o:cell_set_alias_assignee SPLIT=|	A n2o:cell_set_alias_citation SPLIT=|	A n2o:node_metadata	TI 'exemplar data of' some %	A rdfs:comment	A oboInOwl:hasRelatedSynonym SPLIT=|	A 'cell_type_rank' SPLIT=|
PCL_INDV:CS1908210076	All cells - CS1908210076	CS1908210076	PCL:0010001	owl:NamedIndividual			CS1908210076			n1	All cells					"{""members"": 75, ""midpoint"": 57.5288, ""height"": 0.9146, ""cell_set_preferred_alias"": """", ""cell_set_accession"": ""CS1908210076"", ""original_label"": ""n1"", ""cell_set_label"": ""All cells"", ""cell_set_alias"": """", ""cell_set_additional_aliases"": """", ""_row"": ""n1""}"				
PCL_INDV:CS1908210077	Neuron 001-069 - CS1908210077	Neuron	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS1908210076	Neuron	CS1908210077		Neuron	n2	Neuron 001-069		Neuron			"{""members"": 69, ""midpoint"": 42.0889, ""height"": 0.5566, ""cell_set_preferred_alias"": ""Neuron"", ""cell_set_accession"": ""CS1908210077"", ""original_label"": ""n2"", ""cell_set_label"": ""Neuron 001-069"", ""cell_set_alias"": ""Neuron"", ""cell_set_additional_aliases"": ""Neuron"", ""_row"": ""n2""}"				
PCL_INDV:CS1908210078	Neuron 001-045 - CS1908210078	GABAergic	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS1908210077	GABAergic	CS1908210078		GABAergic	n3	Neuron 001-045		GABAergic			"{""members"": 45, ""midpoint"": 23.2148, ""height"": 0.4148, ""cell_set_preferred_alias"": ""GABAergic"", ""cell_set_accession"": ""CS1908210078"", ""original_label"": ""n3"", ""cell_set_label"": ""Neuron 001-045"", ""cell_set_alias"": ""GABAergic"", ""cell_set_additional_aliases"": ""GABAergic"", ""_row"": ""n3""}"				
PCL_INDV:CS1908210079	Neuron 001-027 - CS1908210079	ADARB2 (CGE)	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS1908210078	ADARB2 (CGE)	CS1908210079		ADARB2 (CGE)	n4	Neuron 001-027		ADARB2 (CGE)			"{""members"": 27, ""midpoint"": 8.4297, ""height"": 0.3449, ""cell_set_preferred_alias"": ""ADARB2 (CGE)"", ""cell_set_accession"": ""CS1908210079"", ""original_label"": ""n4"", ""cell_set_label"": ""Neuron 001-027"", ""cell_set_alias"": ""ADARB2 (CGE)"", ""cell_set_additional_aliases"": ""ADARB2 (CGE)"", ""_row"": ""n4""}"	http://purl.obolibrary.org/obo/PCL_0023079			
PCL_INDV:CS1908210080	Neuron 001-006 - CS1908210080	LAMP5/PAX6-like	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS1908210079	LAMP5/PAX6-like	CS1908210080		LAMP5/PAX6-like	n5	Neuron 001-006		LAMP5/PAX6-like			"{""members"": 6, ""midpoint"": 1.8125, ""height"": 0.2938, ""cell_set_preferred_alias"": ""LAMP5/PAX6-like"", ""cell_set_accession"": ""CS1908210080"", ""original_label"": ""n5"", ""cell_set_label"": ""Neuron 001-006"", ""cell_set_alias"": ""LAMP5/PAX6-like"", ""cell_set_additional_aliases"": ""LAMP5/PAX6-like"", ""_row"": ""n5""}"	http://purl.obolibrary.org/obo/PCL_0023080			
PCL_INDV:CS1908210081	Neuron 001-002 - CS1908210081	PAX6	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS1908210080	PAX6	CS1908210081		PAX6	n6	Neuron 001-002		PAX6			"{""members"": 2, ""midpoint"": 0.5, ""height"": 0.1516, ""cell_set_preferred_alias"": ""PAX6"", ""cell_set_accession"": ""CS1908210081"", ""original_label"": ""n6"", ""cell_set_label"": ""Neuron 001-002"", ""cell_set_alias"": ""PAX6"", ""cell_set_additional_aliases"": ""PAX6"", ""_row"": ""n6""}"	http://purl.obolibrary.org/obo/PCL_0023081			
PCL_INDV:CS1908210001	Neuron 001 - CS1908210001	Inh L1-2 PAX6 CDH12	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS1908210081		CS1908210001		Inh L1-2 PAX6 CDH12	Inh L1-2 PAX6 CDH12	Neuron 001					"{""cell_set_preferred_alias"": ""Inh L1-2 PAX6 CDH12"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#DDACC9"", ""nodePar.col"": ""#DDACC9"", ""cell_set_accession"": ""CS1908210001"", ""original_label"": ""Inh L1-2 PAX6 CDH12"", ""cell_set_label"": ""Neuron 001"", ""cell_set_alias"": ""Inh L1-2 PAX6 CDH12"", ""cell_set_additional_aliases"": """", ""_row"": ""Inh L1-2 PAX6 CDH12"", ""is_leaf"": true}"	http://purl.obolibrary.org/obo/PCL_0023001			
PCL_INDV:CS1908210002	Neuron 002 - CS1908210002	Inh L1-2 PAX6 TNFAIP8L3	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS1908210081		CS1908210002		Inh L1-2 PAX6 TNFAIP8L3	Inh L1-2 PAX6 TNFAIP8L3	Neuron 002					"{""cell_set_preferred_alias"": ""Inh L1-2 PAX6 TNFAIP8L3"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#FF88AD"", ""nodePar.col"": ""#FF88AD"", ""cell_set_accession"": ""CS1908210002"", ""original_label"": ""Inh L1-2 PAX6 TNFAIP8L3"", ""cell_set_label"": ""Neuron 002"", ""cell_set_alias"": ""Inh L1-2 PAX6 TNFAIP8L3"", ""cell_set_additional_aliases"": """", ""_row"": ""Inh L1-2 PAX6 TNFAIP8L3"", ""is_leaf"": true}"	http://purl.obolibrary.org/obo/PCL_0023002			
PCL_INDV:CS1908210082	Neuron 003-006 - CS1908210082	LAMP5-like	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS1908210080	LAMP5-like	CS1908210082		LAMP5-like	n7	Neuron 003-006		LAMP5-like			"{""members"": 4, ""midpoint"": 1.125, ""height"": 0.1782, ""cell_set_preferred_alias"": ""LAMP5-like"", ""cell_set_accession"": ""CS1908210082"", ""original_label"": ""n7"", ""cell_set_label"": ""Neuron 003-006"", ""cell_set_alias"": ""LAMP5-like"", ""cell_set_additional_aliases"": ""LAMP5-like"", ""_row"": ""n7""}"	http://purl.obolibrary.org/obo/PCL_0023082			
